fold,train_n,test_n,test_start,base_rate_roc_auc,base_rate_pr_auc,base_rate_brier,base_rate_lift_top10,base_rate_base_rate,recent_dnp_rate_roc_auc,recent_dnp_rate_pr_auc,recent_dnp_rate_brier,recent_dnp_rate_lift_top10,recent_dnp_rate_base_rate,logreg_roc_auc,logreg_pr_auc,logreg_brier,logreg_lift_top10,logreg_base_rate,gbm_roc_auc,gbm_pr_auc,gbm_brier,gbm_lift_top10,gbm_base_rate
2,33730,16899,2013-02-12,0.5,0.07734185454760636,0.07136333493881289,0.8568735484396718,0.07734185454760636,0.6443749428325907,0.14633765687839867,0.07082058084042388,2.8230923158414183,0.07734185454760636,0.7720898304625644,0.39479794848322064,0.1643131860460827,4.904070933480622,0.07734185454760636,0.7626523989898495,0.39541772115390084,0.056407932098577133,4.75105779983068,0.07734185454760636
3,50654,16900,2014-03-17,0.5,0.08041420118343195,0.07396633050363441,1.0007358351729212,0.08041420118343195,0.6386856357881516,0.13835845366300864,0.07404854338020547,2.501839587932303,0.08041420118343195,0.7459662231722123,0.349785665303024,0.1724478857861759,4.562178072111847,0.08041420118343195,0.7487357020303624,0.3798565644240458,0.0603326082656744,4.554819720382635,0.08041420118343195
4,67542,16899,2015-04-13,0.5,0.07136516953665897,0.06630601304120572,1.0364229150107451,0.07136516953665897,0.6418480041856183,0.1276448422116551,0.06609101587028747,2.93514969531043,0.07136516953665897,0.7412956458599966,0.3216636818793187,0.16783072580328573,4.435890076245989,0.07136516953665897,0.7454960324442488,0.34774241666973427,0.05498220233799237,4.377850393005387,0.07136516953665897
5,84439,16900,2016-12-02,0.5,0.07863905325443787,0.07246163038743103,1.2114371708051166,0.07863905325443787,0.6376818601112533,0.13281519482738044,0.07265432542291518,2.490594431903687,0.07863905325443787,0.7578250146577301,0.3461663869696723,0.17056591188057146,4.642588412340105,0.07863905325443787,0.758402214879303,0.37122432410217326,0.0591434374933729,4.612490594431904,0.07863905325443787
6,101366,16900,2017-12-28,0.5,0.0780473372781065,0.07195854719777037,1.0159211523881728,0.0780473372781065,0.6528210643598453,0.14468447747230703,0.07114532481576896,2.9567854435178167,0.0780473372781065,0.7446025779634116,0.35398386946593396,0.1699513888817847,4.488248673237302,0.0780473372781065,0.7452771082215129,0.366640992507542,0.058472696668477826,4.601971190295679,0.0780473372781065
7,118247,16899,2019-01-26,0.5,0.0844428664418013,0.07737334499933776,0.9740138412608899,0.0844428664418013,0.6499383519130609,0.14546931839999452,0.07707797568710022,2.4945966006394014,0.0844428664418013,0.73902898669405,0.35163546358695374,0.17322218531461359,4.491675339915327,0.0844428664418013,0.746426168319795,0.38406737399758506,0.06231631885541082,4.5897774534236175,0.0844428664418013
8,135077,16900,2020-03-08,0.5,0.10526627218934911,0.09495028700706822,1.1410905002810567,0.10526627218934911,0.6621501859889155,0.17902694566702712,0.09378389450564359,2.332771219786397,0.10526627218934911,0.7437142147962218,0.38654185449067824,0.1785239204772327,4.423833614390107,0.10526627218934911,0.7530606117955965,0.41111717174932066,0.0763935187887158,4.412591343451377,0.10526627218934911
9,152090,16899,2021-12-11,0.5,0.12758151369903545,0.11350090687065352,0.8812094498907685,0.12758151369903545,0.642643416069788,0.1929456460952313,0.11263737211696763,2.045333512641205,0.12758151369903545,0.7348136476076128,0.41326845789641165,0.19105401704099384,4.392133416034516,0.12758151369903545,0.744867647008857,0.44835947821984967,0.08813021474287673,4.447788749711827,0.12758151369903545
10,168946,16900,2023-01-19,0.5,0.10041420118343196,0.0905564358557278,1.0017678255745432,0.10041420118343196,0.6500068547863987,0.1615985448190888,0.09047089042334007,2.286387743076016,0.10041420118343196,0.7261722333979379,0.34107378298930047,0.18231716963559966,4.21921037124337,0.10041420118343196,0.7393264851620523,0.37211778269262386,0.07514838571121116,4.225103123158515,0.10041420118343196
11,185858,16900,2024-03-06,0.5,0.1144378698224852,0.10210732462170084,0.8634953464322648,0.1144378698224852,0.6453115168597942,0.1841417401365385,0.10158812347095315,2.207859358841779,0.1144378698224852,0.7227283600843055,0.35487839387597253,0.18761239963924242,4.012409513960703,0.1144378698224852,0.7390202349040451,0.3947481949701349,0.08448560097207922,4.074457083764219,0.1144378698224852
